排名,书名,作者,出版社,年份,评论数,原价,折后价,折扣率,链接,图书分类
1,Python编程从入门到实践 第3版,埃里克·马瑟斯,人民邮电出版社,2023,25616,109.8,69.8,0.6357,https://product.dangdang.com/29564789.html,Python图书
2,小学生Python创意编程,刘凤飞,清华大学出版社,2024,10074,89.0,60.3,0.6775,https://product.dangdang.com/29666296.html,Python图书
3,Python异步编程,凯莱布,中国电力出版社,2023,452,68.0,46.9,0.6897,https://product.dangdang.com/29571544.html,Python图书
4,程序员数学 用Python学透线性代数和微积分,保罗·奥兰德,人民邮电出版社,2021,2889,129.8,123.3,0.9499,https://product.dangdang.com/29342404.html,Python图书
5,我跟爸爸学编程:从Python到C++(第2版),叶哲语,清华大学出版社,2025,128,69.0,65.6,0.9507,https://product.dangdang.com/29878981.html,Python图书
6,Python数据可视化之Matplotlib与Pyecharts实战,王国平,清华大学出版社,2023,552,89.0,54.3,0.6101,https://product.dangdang.com/29637369.html,Python图书
7,python编程 从入门到实践 学习手册跟我一起玩python编程从入门到精通快速上手基础及应用当当自营同款程自学教程高,未蓝文化,中国青年出版社,2020,128,69.8,29.8,0.4269,https://product.dangdang.com/11350920189.html,Python图书
8,语音与音乐信号处理轻松入门(基于Python与PyTorch),姚利民,清华大学出版社,2025,144,69.0,65.6,0.9507,https://product.dangdang.com/29865814.html,Python图书
9,Python网络编程,王菊雅,中国铁道,2025,1,66.0,40.4,0.6121,https://product.dangdang.com/12334342774.html,Python图书
10,Python少儿趣味编程 教孩子学编程 少儿编程入门教程图书 零基础自学python编程 青少年编程真好玩,李强,人民邮电出版社,2019,37,69.0,34.5,0.5,https://product.dangdang.com/1534660915.html,Python图书
11,数学要素 全彩图解 + 微课 +Python 编程,姜伟生,清华大学出版社,2023,4477,238.0,238.0,1.0,https://product.dangdang.com/29560701.html,Python图书
12,Python趣味编程-从入门到人工智能,谢声涛,清华大学出版社,,1,59.0,29.73,0.5039,https://product.dangdang.com/1745447432.html,Python图书
13,Python网络爬虫实例教程(视频讲解版),齐文光,人民邮电出版社,2018,0,49.8,36.35,0.7299,https://product.dangdang.com/1041367913.html,Python图书
14,Python最优化算法实战Python基础程序设计,,北京大学出版社,,1,69.0,36.5,0.529,https://product.dangdang.com/11168608507.html,Python图书
15,Python程序员面试秘笈 剑指Offer程序员面试宝典代码面试指南python编程实战IT企业公司,米努·科利,人民邮电出版社,2020,0,59.0,43.3,0.7339,https://product.dangdang.com/1744577832.html,Python图书
16,Python程序设计 第3三版 高等院校信息技术教材 Python入门基础知识 语言程序 数据分析爬虫 清华大学,董付国,清华大学出版社,2020,4,59.8,43.26,0.7234,https://product.dangdang.com/11010072187.html,Python图书
17,Python办公效率手册,,人民邮电出版社,2021,0,59.8,43.86,0.7334,https://product.dangdang.com/11019643187.html,Python图书
18,Python大数据分析与挖掘实战 微课版 黄恒秋 Python基础入门书籍 Python科学计算,,人民邮电出版社,2021,4,59.8,43.86,0.7334,https://product.dangdang.com/11000324157.html,Python图书
19,Python数据分析与数据化运营 著,宋天龙,机械工业出版社,2017,1,38.0,1.75,0.0461,https://product.dangdang.com/11740113290.html,Python图书
20,Python机器学习 预测分析核心算法 美 Bowles 鲍尔斯 著 美 Bow,Michael,人民邮电出版社,2016,3,26.08,3.68,0.1411,https://product.dangdang.com/11376497391.html,Python图书
21,Python爬虫开发与项目实战,范传辉,机械工业出版社,2017,1,79.0,45.45,0.5753,https://product.dangdang.com/1173006177.html,Python图书
22,Python数据分析入门与实战,,机械工业出版社,2020,0,69.9,46.13,0.6599,https://product.dangdang.com/1746527862.html,Python图书
23,Python程序设计案例教程 、贾琼、陈琦 编,单显明,北京理工大学出版社,2020,0,213.78,4.89,0.0229,https://product.dangdang.com/12461579291.html,Python图书
24,Python程序开发 初级 python程序设计计算机应用技术培训课程入门基础教材*+X项目,中慧云启科技集团有限公司,人民邮电出版社,2021,3,69.8,34.9,0.5,https://product.dangdang.com/596368458.html,Python图书
25,Python少儿趣味编程 教孩子学编程 少儿编程入门教程图书 零基础自学python编程 青少年编程,李强,人民邮电出版社,2019,0,69.0,48.23,0.699,https://product.dangdang.com/1744575902.html,Python图书
26,Python数据可视化,不详,人民邮电出版社,2010,0,14.88,4.96,0.3333,https://product.dangdang.com/12395747746.html,Python图书
27,Python快速编程入门,不详,人民邮电出版社,2010,0,15.3,5.1,0.3333,https://product.dangdang.com/12395747276.html,Python图书
28,Python语言程序设计实践教程,不详,上海交通大学出版社,2010,1,91.0,5.5,0.0604,https://product.dangdang.com/12355037804.html,Python图书
29,Python机器学习 预测分析核心算法 (美) Bowles 鲍尔斯 著 达额立减,Michael,人民邮电出版社,2016,1,28.0,3.68,0.1314,https://product.dangdang.com/11739967170.html,Python图书
30,Python编程入门第3版售后无忧,Toby,人民邮电出版社,2013,5,40.0,5.98,0.1495,https://product.dangdang.com/669182352.html,Python图书
31,Python高效开发实战:Django、Tornado、Flask、Twisted,刘长龙,电子工业出版社,2016,0,92.02,6.01,0.0653,https://product.dangdang.com/11942220062.html,Python图书
32,Python新手使用Django架站的16堂课,何敏煌,清华大学出版社,2017,1,34.0,4.45,0.1309,https://product.dangdang.com/11740052950.html,Python图书
33,Python开发技术详解 等编著,周伟,机械工业出版社,2009,0,211.98,4.3,0.0203,https://product.dangdang.com/11738407340.html,Python图书
34,PYTHON数据分析入门:从数据获取到可视化,沈祥壮,电子工业出版社,2018,0,19.02,6.34,0.3333,https://product.dangdang.com/12395747586.html,Python图书
35,Python机器学习算法,赵志勇,电子工业出版社,2017,1,93.76,6.88,0.0734,https://product.dangdang.com/11942422602.html,Python图书
36,Python网络编程攻略,萨卡尔,人民邮电出版社,2014,0,90.0,5.0,0.0556,https://product.dangdang.com/11944567906.html,Python图书
37,Python 程序设计实用教程,董付国,北京邮电大学出版社,2020,0,90.0,5.0,0.0556,https://product.dangdang.com/12454594477.html,Python图书
38,Python数据分析与可视化,不详,人民邮电出版社,2010,0,90.2,5.1,0.0565,https://product.dangdang.com/12387142205.html,Python图书
39,Python网络爬虫从入门到实践 陈智铨,唐松,机械工业出版社,2017,1,28.0,5.19,0.1854,https://product.dangdang.com/11739979990.html,Python图书
40,"Python测试之道 ,朱圣洲,石贇 著 9787115479518",杨燕琳,人民邮电出版社,2018,0,90.4,5.2,0.0575,https://product.dangdang.com/12347433740.html,Python图书
41,Python极客项目编程,Mahesh,人民邮电出版社,2017,0,94.48,7.24,0.0766,https://product.dangdang.com/12351153606.html,Python图书
42,Python程序设计入门到实战,何敏煌,清华大学出版社,2017,0,90.0,5.0,0.0556,https://product.dangdang.com/12457598677.html,Python图书
43,Python数据可视化编程实战,Igor,人民邮电出版社,2015,0,94.3,7.15,0.0758,https://product.dangdang.com/11960009863.html,Python图书
44,Python自然语言处理实战:核心技术与算法,涂铭,机械工业出版社,2018,0,21.15,7.05,0.3333,https://product.dangdang.com/12395748336.html,Python图书
45,Python自动化运维快速入门,郑征,清华大学出版社,2019,0,21.24,7.08,0.3333,https://product.dangdang.com/12395748326.html,Python图书
46,Python算法教程,赫特兰,人民邮电出版社,2016,1,90.0,5.0,0.0556,https://product.dangdang.com/12419713227.html,Python图书
47,Python 网络编程攻略,,人民邮电出版社,2014,0,90.0,5.0,0.0556,https://product.dangdang.com/11988621110.html,Python图书
48,Python自动化运维:技术与实践,刘天斯,机械工业出版社,2014,0,123.0,6.99,0.0568,https://product.dangdang.com/11708211305.html,Python图书
49,Python开发技术详解,周伟,机械工业出版社,2009,1,63.0,8.0,0.127,https://product.dangdang.com/11187284862.html,Python图书
50,Python趣味编程入门,迈克·桑德斯,人民邮电出版社,2018,0,23.73,7.91,0.3333,https://product.dangdang.com/12395747406.html,Python图书
51,Python数据挖掘与机器学习实战,方巍,机械工业出版社,2019,0,23.73,7.91,0.3333,https://product.dangdang.com/12395747916.html,Python图书
52,PYTHON核心编程第二版,Wesley,人民邮电出版社,2008,1,40.0,8.0,0.2,https://product.dangdang.com/11354968962.html,Python图书
