书名,详情链接,作者,出版年份,出版社,评论数,原价(元),折后价(元),折扣率
 Python编程从入门到实践 第3版,https://product.dangdang.com/29564789.html,埃里克·马瑟斯,2023,人民邮电出版社,25616,109.8,69.8,0.64
 小学生Python创意编程 视频教学版,https://product.dangdang.com/29666296.html,刘凤飞,2024,清华大学出版社,10074,89.0,60.3,0.68
 Python异步编程,https://product.dangdang.com/29571544.html,凯莱布,2023,中国电力出版社,452,68.0,46.9,0.69
 程序员数学 用Python学透线性代数和微积分,https://product.dangdang.com/29342404.html,保罗·奥兰德,2021,人民邮电出版社,2889,129.8,123.3,0.95
 我跟爸爸学编程：从Python到C++(第2版),https://product.dangdang.com/29878981.html,叶哲语,2025,清华大学出版社,128,69.0,65.6,0.95
 Python数据可视化之Matplotlib与Pyecharts实战,https://product.dangdang.com/29637369.html,王国平,2023,清华大学出版社,552,89.0,54.3,0.61
 python编程 从入门到实践 学习手册跟我一起玩python编程从入门到精通快速上手基础及应用当当自营同款程自学教程高,https://product.dangdang.com/11350920189.html,未蓝文化,2020,中国青年出版社,128,69.8,29.8,0.43
 语音与音乐信号处理轻松入门（基于Python与PyTorch）,https://product.dangdang.com/29865814.html,姚利民,2025,清华大学出版社,144,69.0,65.6,0.95
 Python网络编程,https://product.dangdang.com/12334342774.html,王菊雅,2025,中国铁道,1,66.0,40.4,0.61
 Python少儿趣味编程 教孩子学编程 少儿编程入门教程图书 零基础自学python编程 青少年编程真好玩,https://product.dangdang.com/1534660915.html,李强,2019,人民邮电出版社,37,69.0,34.5,0.5
 数学要素 全彩图解 + 微课 +Python 编程,https://product.dangdang.com/29560701.html,姜伟生,2023,清华大学出版社,4477,238.0,238.0,1.0
 Python趣味编程-从入门到人工智能,https://product.dangdang.com/1745447432.html,谢声涛,,清华大学出版社,1,59.0,29.73,0.5
 Python网络爬虫实例教程(视频讲解版),https://product.dangdang.com/1041367913.html,齐文光,2018,人民邮电出版社,0,49.8,36.35,0.73
 Python最优化算法实战Python基础程序设计,https://product.dangdang.com/11168608507.html,,,北京大学出版社,1,69.0,36.5,0.53
 Python程序员面试秘笈 剑指Offer程序员面试宝典代码面试指南python编程实战IT企业公司,https://product.dangdang.com/1744577832.html,米努·科利,2020,人民邮电出版社,0,59.0,43.3,0.73
 Python程序设计 第3三版 董付国 高等院校信息技术教材 Python入门基础知识 语言程序 数据分析爬虫 清华大学,https://product.dangdang.com/11010072187.html,董付国,2020,清华大学出版社,4,59.8,43.26,0.72
 Python办公效率手册,https://product.dangdang.com/11019643187.html,,2021,人民邮电出版社,0,59.8,43.86,0.73
 Python大数据分析与挖掘实战 微课版 黄恒秋 Python基础入门书籍 Python科学计算,https://product.dangdang.com/11000324157.html,,2021,人民邮电出版社,4,59.8,43.86,0.73
 Python数据分析与数据化运营 宋天龙 著 机械工业出版社【可开电子发票】,https://product.dangdang.com/11740113290.html,宋天龙,2017,机械工业出版社,1,38.0,1.75,0.05
 Python机器学习 预测分析核心算法 [美] Michael Bowles 鲍尔斯 著 [美] Michael Bow,https://product.dangdang.com/11376497391.html,Michael,2016,人民邮电出版社,3,26.08,3.68,0.14
 Python爬虫开发与项目实战,https://product.dangdang.com/1173006177.html,范传辉,2017,机械工业出版社,1,79.0,45.45,0.58
